airport_id,airport_type,airport_name,airport_long,airport_lat
307238,small_airport,Warren Field,42.936718,-81.479738
307323,small_airport,Hastings Field,48.78255,-123.28426
307391,small_airport,Ivanhoe Airstrip,48.183055555600006,-82.5492361111
308011,small_airport,Lorneville Airstrip,44.448507,-78.910104
308537,small_airport,Mount Forest Roths' Field,44.23,-81.026667
308538,heliport,Calgary (Aerial Recon) Heliport,50.868,-114.13799999999999
308539,small_airport,Roths field,43.9785487888,-80.77706336979999
309767,small_airport,Varys field,44.5897948166,-80.76384544369998
309890,small_airport,Flamboro Centre Airport,43.371598999999996,-79.93238000000001
309272,small_airport,Rivière-aux-Saumons Aerodrome (Private Operator: Safari Anticosti),49.401389,-62.295278
309273,small_airport,Rivière Bell Airport,49.078889000000004,-62.236943999999994
309891,small_airport,Skydive SWOOP,43.3018169655,-79.971832037
309924,heliport,Prince Edward O.P.P. Helipad,43.9952303773,-77.18827575450001
309926,seaplane_base,Hallowell Mills Cove Seaplane Base,44.0335547856,-77.1363830566
309927,heliport,Clapp Farm Heliport,43.909323433699996,-77.0790508389
310620,seaplane_base,Marina Senneterre,48.392617,-77.225038
311164,seaplane_base,"Lac William, Piste de glace (hiver seulement)",46.1256599864,-71.5747269101
311586,small_airport,Beaverton North,44.4594444444,-79.1261111111
312632,small_airport,Paterson Field,43.419447,-81.237176
312802,small_airport,Robinson International Air Field,44.18,-80.9515
313545,small_airport,Pretty Estates Resort Airport,49.252371999999994,-121.945846
315415,small_airport,Nicholson Island Private Airstrip,43.916397700000005,-77.52523636
315836,seaplane_base,Cree Lake (Crystal Lodge) Water Aerodrome,57.4616,-106.7528
316098,seaplane_base,Cameron Bay Water Aerodrome,66.06,-117.89
316109,seaplane_base,Fort Resolution Water Aerodrome,61.163999999999994,-113.678
316114,seaplane_base,Clarence Lagoon Water Aerodrome,69.62,-140.81
316115,seaplane_base,Fort Smith Water Aerodrome,60.02,-111.89
316197,seaplane_base,Boffa Lake Water Aerodrome,69.637,-116.196
316215,seaplane_base,Rocher River Water Aerodrome.,61.379,-112.744
316403,small_airport,Griffith Island,44.830509924280996,-80.90098118316399
316408,small_airport,White Cloud Island,44.835907609474,-80.97540070675299
316411,small_airport,Hay Island Airstrip,44.8902,-80.9773
317280,small_airport,Carnie Airfield,42.424644,-81.865847
28244,seaplane_base,Gowganda/Gowganda Lake Seaplane Base,47.6506,-80.785301
317772,heliport,Triple Island Lightstation Helipad,54.294727,-130.880179
317825,small_airport,Carlstads Airstrip,56.247489,-119.79863600000002
317826,small_airport,Prairie Point Airport,58.272539,-116.461299
318009,small_airport,Goderich Municipal Airport,43.767747,-81.710472
320057,heliport,Amphitrite Point Heliport,48.9224,-125.541601
320058,heliport,Egg Island Lightstation Helipad,51.249701,-127.8364
320059,heliport,Green Island Lightstation Helipad,54.56854010000001,-130.70648
320060,small_airport,Bamfield Airstrip,48.8206,-125.1193
320063,heliport,Scarlett Point Lighthouse Helipad,50.8609,-127.6126
320064,small_airport,Pointed Mountain Airport,60.331100199999995,-123.81299999999999
320091,heliport,Race Rocks Light Helipad,48.298504,-123.5322
320092,heliport,Elephant Enterprises Inc. Heliport,51.1152,-114.2956
